Group Code,Client Code,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Future/Option,Put/Call,Delivery Month/Year,Bought or Sold,Quantity,Trade Date,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Exercise Price,Trade Price,Current Price,Variation Margin Amount,Option P&L,Last day of trading (expiry date),Settlement Timing,Input Date,ASX Code,Instrument Type,Con Input Date,Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Con Reference Number,Exercise Style,Tick Value,Tick Size,Contract Size,Executing Broker,Trading Venue,Badge Id,Delta,Broker Code,Commodity Name,Market Name,Exchange Instrument Code Reporting,Market Zone,Historic Value
G111500M,G1115000,DB18,EEX,EE ,DB1            ,F, ,2504,B,45,14/04/25,EUR,EUR,Segregated,                     ,74,74.14,151.2,                     ,17/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414187581,A,0,0.01,1,TRAY ,EL,          ,1,MLOECCLT,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,European Energy Exchange           ,DB18           ,EUROPE  ,-79920
G111500M,G1115000,DB18,EEX,EE ,DB1            ,F, ,2504,B,30,14/04/25,EUR,EUR,Segregated,                     ,74,74.14,100.8,                     ,17/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414193822,A,0,0.01,1,TRAY ,EL,          ,1,MLOECCLT,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,European Energy Exchange           ,DB18           ,EUROPE  ,-53280
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2505,S,10,7/4/2025,EUR,EUR,Segregated,                     ,62.6,67.45,-36084,                     ,30/05/25,C,14/04/25,      ,F,7/4/2025,0ECC                 , , ,        ,0412975135,A,0,0.01,1,TPU  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,465744
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2505,S,10,7/4/2025,EUR,EUR,Segregated,                     ,62.65,67.45,-35712,                     ,30/05/25,C,14/04/25,      ,F,7/4/2025,0ECC                 , , ,        ,0413018433,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,466116
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2505,S,2,9/4/2025,EUR,EUR,Segregated,                     ,60.73,67.45,-9999.36,                     ,30/05/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413430201,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,90366.24
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2505,S,3,9/4/2025,EUR,EUR,Segregated,                     ,60.73,67.45,-14999.04,                     ,30/05/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413431450,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,135549.36
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2505,S,5,9/4/2025,EUR,EUR,Segregated,                     ,60.5,67.45,-25854,                     ,30/05/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413454819,A,0,0.01,1,GFI  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,225060
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2506,B,20,7/4/2025,EUR,EUR,Segregated,                     ,65.3,69.4,59040,                     ,30/06/25,C,14/04/25,      ,F,7/4/2025,0ECC                 , , ,        ,0412975127,A,0,0.01,1,TPU  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,-940320
G111500M,G1115000,DEBM,EEX,EE ,DEB            ,F, ,2506,B,10,7/4/2025,EUR,EUR,Segregated,                     ,65.35,69.4,29160,                     ,30/06/25,C,14/04/25,      ,F,7/4/2025,0ECC                 , , ,        ,0413018440,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX GERMAN POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,DEBM           ,EUROPE  ,-470520
G111500M,G1115000,F715,EEX,EE ,               ,F, ,2504,S,50,14/04/25,EUR,EUR,Segregated,                     ,19.5,16.83,3204,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414152939,A,0,0.01,1,TPU  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,European Energy Exchange           ,F715           ,EUROPE  ,23400
