Open position date,Trade Date,Ledger Code,Market Code,Instrument Code,Instrument Long Name,Delivery/Prompt date,Last Traded date,Declaration Date,Strike,Option Type,Volume,Price,Market Rate,Variation Margin,Currency Code,Lot Size,RANsys Serial No.,FX Spot Rate,Base Currency
4/14/2025,4/14/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,-5,34.7,34.499,747.72,EUR,744,250414E52Z,1.13495,USD
4/14/2025,4/1/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,101.75,85.37,25389,GBP,31000,250401MOHU,1.31875,USD
4/14/2025,4/7/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,-5,36.37,34.499,6960.12,EUR,744,2504071JA3,1.13495,USD
4/14/2025,4/3/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,97.35,85.37,18569,GBP,31000,250403DT6J,1.31875,USD
4/14/2025,4/9/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,33.3,34.499,4460.28,EUR,744,250409EUZJ,1.13495,USD
4/14/2025,4/2/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,41.5,34.499,-26043.72,EUR,744,250402J175,1.13495,USD
4/14/2025,4/2/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,42.16,34.499,-28498.92,EUR,744,250402J177,1.13495,USD
4/14/2025,4/2/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,5,102,85.37,-25776.5,GBP,31000,2504023NAO,1.31875,USD
4/14/2025,4/9/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,33.395,34.499,4106.88,EUR,744,250409EJOW,1.13495,USD
4/14/2025,4/7/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,87,85.37,2526.5,GBP,31000,250407TC7M,1.31875,USD
4/14/2025,4/9/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,5,82.39,85.37,4619,GBP,31000,250409EW2G,1.31875,USD
4/14/2025,4/7/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,86,85.37,976.5,GBP,31000,250407PDFY,1.31875,USD
4/14/2025,4/3/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,-5,40.285,34.499,21523.92,EUR,744,250403EJSB,1.13495,USD
4/14/2025,4/7/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,-5,35.6,34.499,4095.72,EUR,744,250407TFHX,1.13495,USD
4/14/2025,4/7/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,86,85.37,976.5,GBP,31000,250407RKMW,1.31875,USD
4/14/2025,4/3/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,97.35,85.37,18569,GBP,31000,250403DXNA,1.31875,USD
4/14/2025,4/9/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,86.4,85.37,1596.5,GBP,31000,250409C2TL,1.31875,USD
4/14/2025,4/10/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,83.22,85.37,-3332.5,GBP,31000,250410OMV6,1.31875,USD
4/14/2025,4/14/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,-5,85.75,85.37,589,GBP,31000,250414E4CJ,1.31875,USD
4/14/2025,4/2/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,42.38,34.499,-29317.32,EUR,744,250402J176,1.13495,USD
4/14/2025,4/10/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,33.835,34.499,2470.08,EUR,744,250410J41E,1.13495,USD
4/14/2025,4/7/2025,23040,IFEU,GCM,UK NATURAL GAS,5/31/2025,4/29/2025,,,,5,85,85.37,573.5,GBP,31000,250407Q4NZ,1.31875,USD
4/14/2025,4/9/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,33.33,34.499,4348.68,EUR,744,250409F1G7,1.13495,USD
4/14/2025,4/2/2025,23040,NDEX,ITTF,DUTCH NAT GAS,5/31/2025,4/29/2025,,,,5,42.055,34.499,-28108.32,EUR,744,250402J17A,1.13495,USD
