broker,account_id,product_code,product_name,instrument_type,put_call,strike_price,delivery_month,side,quantity,trade_date,trade_price,market_price,variation_margin,currency,lot_size,fx_spot_rate
Broker A,A:G1115000,DB1            ,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,BUY,45,2025-04-14,74.0,74.14,151.2,EUR,1,
Broker A,A:G1115000,DB1            ,EEX GERMAN POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,BUY,30,2025-04-14,74.0,74.14,100.8,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,10,2025-07-04,62.6,67.45,-36084.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,10,2025-07-04,62.65,67.45,-35712.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,2,2025-09-04,60.73,67.45,-9999.36,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,3,2025-09-04,60.73,67.45,-14999.04,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-09-04,60.5,67.45,-25854.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,20,2025-07-04,65.3,69.4,59040.0,EUR,1,
Broker A,A:G1115000,DEB            ,EEX GERMAN POWER BASE MONTH FUTURE                                     ,F,,,2025-06,BUY,10,2025-07-04,65.35,69.4,29160.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,50,2025-04-14,19.5,16.83,3204.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,20,2025-04-14,18.6,16.83,849.6,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,280,2025-04-14,18.0,16.83,7862.4,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,20,2025-04-14,18.5,16.83,801.6,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,30,2025-04-14,19.0,16.83,1562.4,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,18.0,16.83,702.0,EUR,1,
Broker A,A:G1115000,               ,EEX FRENCH POWER BASE DAY 15 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,19.0,16.83,1302.0,EUR,1,
Broker A,A:G1115000,F71            ,EEX FRENCH POWER BASE DAY 18 FUTURE                                    ,F,,,2025-04,SELL,75,2025-04-14,43.0,34.5,15300.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 3 FUTURE                                    ,F,,,2025-04,BUY,2,2025-10-04,33.0,30.76,-752.64,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,32.5,36.66,-3494.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,34.0,36.66,-2234.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,10,2025-04-14,35.0,36.66,-2788.8,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,35.7,36.66,-806.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,25,2025-04-14,32.25,36.66,-18522.0,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,10,2025-04-14,36.0,36.66,-1108.8,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,5,2025-04-14,36.0,36.66,-554.4,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,F,,,2025-04,SELL,1,2025-04-14,34.94,36.66,-288.96,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,5,2025-03-04,36.85,27.99,32959.2,EUR,1,
Broker A,A:G1115000,F7B            ,EEX FRENCH POWER BASE MONTH FUTURE                                     ,F,,,2025-05,SELL,7,2025-03-04,36.9,27.99,46403.28,EUR,1,
